"","scores_adabag","scores_svm","scores_rf"
"1",0.5,0.5,1
"2",0.5,0.5,1
"3",0.5,0.5,1
"4",0.5,0.5,1
"5",0.5,0.5,1
"6",0.5,0.5,1
"7",0.5,0.5,1
"8",0.5,0.5,1
"9",0.5,0.5,1
"10",0.5,0.5,0.5
"11",0.5,0.5,1
"12",0.5,0.5,1
"13",1,0.5,1
"14",0.5,0.5,1
"15",0.5,0.5,1
"16",0.5,0.5,0.5
"17",0.5,0.5,1
"18",0.5,0.5,0.5
"19",1,0.5,1
"20",1,0.5,1
"21",0.5,0.5,0.5
"22",0.5,0.5,0.5
"23",0.5,0.5,1
"24",0,0,0
"25",0.5,0.5,1
"26",1,0.5,1
"27",1,0.5,1
"28",1,0.5,1
"29",0.5,0.5,0.5
"30",0.5,0.5,0.5
"31",0.5,0.5,0.5
"32",0.5,0.5,0.5
"33",1,0.5,1
"34",0.5,0.5,0.5
"35",1,1,0.5
"36",0.5,1,1
"37",0.5,1,1
"38",0.5,1,1
"39",0.5,1,1
"40",0.5,0.5,1
"41",0.5,0.5,1
"42",0.5,0.5,0.5
"43",0.5,0.5,1
"44",0.5,0.5,1
"45",1,1,1
"46",1,1,1
"47",1,1,1
"48",1,1,1
"49",1,1,1
"50",1,1,1
"51",1,1,1
"52",1,1,1
"53",1,1,1
"54",0.5,1,1
"55",0.5,1,1
"56",1,1,1
"57",1,1,1
"58",1,1,1
"59",1,1,1
"60",1,1,1
"61",1,1,1
"62",1,1,1
"63",1,0.5,1
"64",1,1,1
"65",1,1,1
"66",1,1,1
"67",1,1,1
"68",1,1,1
"69",1,1,1
"70",1,1,1
"71",1,1,1
"72",1,1,1
"73",1,1,1
"74",1,0.5,1
"75",1,0.5,1
"76",1,1,1
"77",1,1,1
"78",1,1,1
"79",1,1,1
"80",1,1,1
"81",1,1,1
"82",1,1,1
"83",1,1,1
"84",1,1,1
"85",1,1,1
"86",1,1,1
"87",1,1,1
"88",1,1,1
"89",1,1,1
"90",1,1,1
"91",1,1,1
"92",1,1,1
"93",1,1,1
"94",1,1,1
"95",1,1,1
"96",1,1,1
"97",1,1,1
"98",1,1,1
"99",1,1,1
"100",1,1,1
"101",1,1,1
"102",1,1,1
"103",0.5,1,1
"104",0.5,1,1
"105",0.5,1,1
"106",1,1,1
"107",0.5,1,1
"108",0.5,1,1
"109",0.5,1,1
"110",0.5,0.5,0.5
"111",0.5,0.5,1
"112",0.5,1,1
"113",0.5,1,1
"114",0.5,1,1
"115",0.5,1,1
"116",0.5,1,1
"117",0.5,0.5,1
"118",0.5,1,1
"119",0.5,1,1
"120",0.5,1,1
"121",0.5,0.5,1
"122",0.5,1,1
"123",0.5,0.5,1
"124",0.5,0.5,1
"125",0.5,0.5,0.5
"126",0.5,1,1
"127",0.5,0.5,1
"128",0.5,0.5,1
"129",0.5,0.5,1
"130",0.5,0.5,1
"131",0.5,0.5,0.5
"132",1,0.5,1
"133",1,0.5,1
"134",1,0.5,1
"135",1,1,1
"136",1,0.5,1
"137",1,0.5,1
"138",1,0.5,1
"139",1,0.5,1
"140",1,0.5,1
"141",1,0.5,1
"142",1,0.5,1
"143",1,0.5,1
"144",1,0.5,1
"145",1,1,1
"146",1,0.5,1
"147",1,0.5,1
"148",1,0.5,1
"149",1,0.5,1
"150",1,1,1
"151",1,1,1
"152",1,1,1
"153",1,1,1
"154",1,0.5,1
"155",1,0.5,1
"156",1,0.5,1
"157",1,0.5,1
"158",1,0.5,1
"159",1,0.5,1
"160",0.5,0.5,1
"161",1,0.5,1
"162",1,0.5,1
"163",1,1,1
"164",1,1,1
"165",1,1,1
"166",0.5,0.5,1
"167",1,1,1
"168",1,1,1
"169",1,1,1
"170",0.5,0.5,1
"171",1,1,1
"172",1,0.5,1
"173",1,1,1
"174",1,0.5,1
"175",1,1,1
"176",1,1,1
"177",1,1,1
"178",1,0.5,1
"179",1,1,1
"180",1,1,1
"181",0.5,0.5,1
"182",1,0.5,1
"183",1,0.5,1
"184",0.5,0.5,0.5
"185",0,0,0.5
"186",0,0,0
"187",0,0,0
"188",0,0,0
"189",0.5,0.5,1
"190",1,1,0.5
"191",1,1,1
"192",1,1,1
"193",1,1,1
"194",1,1,1
"195",1,1,1
"196",0.5,0.5,0.5
"197",1,1,1
"198",1,1,1
"199",1,1,1
"200",1,1,1
"201",1,1,1
"202",1,1,1
"203",1,1,1
"204",1,1,1
"205",1,1,1
"206",1,1,1
"207",1,1,1
"208",1,1,1
"209",1,1,1
"210",1,1,1
"211",1,1,1
"212",1,1,1
"213",1,1,1
"214",1,1,1
"215",1,1,1
"216",0.5,0.5,0.5
"217",1,1,1
"218",1,1,1
"219",1,1,1
"220",1,1,1
"221",1,1,1
"222",1,1,1
"223",1,1,1
"224",1,1,1
"225",0.5,0.5,0.5
"226",1,1,1
"227",0,0.5,0
"228",1,0.5,1
"229",1,0.5,1
"230",1,0.5,1
"231",1,0.5,1
"232",1,0.5,1
"233",1,0.5,1
"234",1,0.5,1
"235",1,0.5,1
"236",1,0.5,1
"237",1,0.5,1
"238",1,0.5,1
"239",1,0.5,1
"240",1,0.5,1
"241",0.5,0.5,1
"242",1,0.5,1
"243",1,0.5,1
"244",1,0.5,1
"245",1,0.5,1
"246",1,0.5,1
"247",0.5,0.5,1
"248",1,0.5,1
"249",1,0.5,1
"250",1,0.5,1
"251",1,0.5,1
"252",0.5,0.5,1
"253",1,0.5,1
"254",1,0.5,1
"255",0.5,0.5,1
"256",1,0.5,1
"257",0.5,0.5,1
"258",0.5,0.5,1
"259",0.5,0.5,1
"260",1,0.5,1
"261",0.5,0.5,1
"262",0.5,0.5,1
"263",1,0.5,1
"264",1,0.5,1
"265",1,0.5,1
"266",1,0.5,1
"267",1,0.5,1
"268",1,0.5,1
"269",1,0.5,1
"270",0.5,0.5,1
"271",1,0.5,1
"272",1,0.5,1
"273",1,0.5,1
"274",1,0.5,1
"275",1,0.5,1
"276",1,0.5,1
"277",0.5,0.5,1
"278",1,0.5,1
"279",0.5,0.5,1
"280",0.5,0.5,1
"281",1,0.5,1
"282",0.5,0.5,1
"283",0.5,0.5,1
"284",0.5,0.5,1
"285",0.5,0.5,1
"286",0.5,0.5,1
"287",0.5,0.5,1
"288",0.5,0.5,1
"289",0.5,0.5,1
"290",0.5,0.5,1
"291",0,0,0
"292",0,0,0
"293",1,1,1
"294",1,1,1
"295",1,1,1
"296",1,1,1
"297",1,1,1
"298",1,1,1
"299",1,1,1
"300",1,1,1
"301",1,1,1
"302",1,1,1
"303",1,1,1
"304",1,1,1
"305",1,1,1
"306",1,1,1
"307",1,1,1
"308",1,1,1
"309",1,0.5,1
"310",1,1,1
"311",0.5,0.5,0.5
"312",1,1,1
"313",1,1,1
"314",1,1,1
"315",1,1,1
"316",0.5,1,1
"317",0.5,1,1
"318",0.5,0.5,0.5
"319",1,1,1
"320",1,1,1
"321",0.5,0.5,0.5
"322",0.5,1,1
"323",1,1,1
"324",0.5,0.5,0.5
"325",0.5,0.5,0.5
"326",0.5,0.5,0.5
"327",0,0.5,0
"328",1,1,1
"329",1,1,1
"330",1,1,1
"331",1,1,1
"332",0.5,0.5,0.5
"333",1,1,1
"334",1,1,1
"335",0.5,0.5,0.5
"336",0.5,0.5,0.5
"337",1,1,1
"338",1,1,0.5
"339",1,1,0.5
"340",1,1,1
"341",1,0.5,1
"342",1,0.5,1
"343",1,1,1
"344",1,0.5,1
"345",1,1,1
"346",0.5,0.5,1
"347",0.5,0.5,1
"348",0.5,0.5,1
"349",0.5,0.5,0.5
"350",0.5,0.5,0.5
"351",0.5,0.5,0.5
"352",0.5,0.5,0.5
"353",1,1,1
"354",1,1,1
"355",1,1,1
"356",1,1,1
"357",1,1,1
"358",1,1,1
"359",1,1,1
"360",1,1,1
"361",1,1,1
"362",1,1,1
"363",0.5,0.5,0.5
"364",1,1,1
"365",1,1,1
"366",1,1,1
"367",1,1,1
"368",0.5,0.5,0.5
"369",1,1,1
"370",0.5,0.5,0.5
"371",1,1,1
"372",1,1,1
"373",0.5,0.5,0.5
"374",1,1,1
"375",1,1,1
"376",1,1,1
"377",1,1,1
"378",0.5,1,1
"379",1,1,1
"380",1,1,1
"381",0.5,1,1
"382",0.5,1,1
"383",1,1,1
"384",1,1,1
"385",1,1,1
"386",1,1,1
"387",1,0.5,1
"388",0.5,0.5,1
"389",1,1,1
"390",0.5,1,1
"391",1,1,1
"392",0.5,0.5,0.5
"393",0.5,0.5,0.5
"394",0.5,0.5,0.5
"395",0,0.5,0
"396",0.5,0.5,0.5
"397",1,1,1
"398",1,1,1
"399",1,1,1
"400",0.5,0.5,0.5
"401",1,1,1
"402",1,1,1
"403",1,1,1
"404",1,1,1
"405",1,1,1
"406",1,1,1
"407",0.5,0.5,0.5
"408",0.5,0.5,0.5
"409",0.5,0.5,1
"410",0.5,0.5,1
"411",1,1,1
"412",1,1,1
"413",1,1,1
"414",1,1,1
"415",1,1,1
"416",0.5,0.5,1
"417",1,1,1
"418",1,1,1
"419",0.5,0.5,0.5
"420",0.5,0.5,0.5
"421",0.5,0.5,0.5
"422",1,1,1
"423",1,1,1
"424",1,1,1
"425",1,1,1
"426",0.5,1,1
"427",0.5,1,1
"428",0.5,1,1
"429",0.5,1,1
"430",0.5,1,1
"431",0.5,1,1
"432",0.5,0.5,1
"433",0.5,0.5,1
"434",0.5,0.5,1
"435",1,0.5,1
"436",1,1,1
"437",1,0.5,1
"438",1,1,1
"439",0.5,0.5,1
"440",0.5,0.5,1
"441",0.5,0.5,1
"442",0.5,0.5,1
"443",0.5,0.5,1
"444",0.5,0.5,0.5
"445",0.5,0.5,1
"446",0.5,0.5,1
"447",0.5,0.5,0.5
"448",1,1,1
"449",1,1,1
"450",1,1,1
"451",1,1,1
"452",1,1,1
"453",1,1,1
"454",0.5,0.5,0.5
"455",1,1,1
"456",1,1,1
"457",1,1,1
"458",1,1,1
"459",1,1,1
"460",1,1,1
"461",1,1,1
"462",1,1,1
"463",1,1,1
"464",1,1,1
"465",1,1,1
"466",1,1,1
"467",1,1,1
"468",1,1,1
"469",1,1,1
"470",1,1,1
"471",1,1,1
"472",1,1,1
"473",1,1,1
"474",1,1,1
"475",0.5,1,1
"476",1,1,1
"477",1,1,1
"478",0.5,1,1
"479",0.5,1,1
"480",0.5,0.5,1
"481",0.5,0.5,1
"482",0.5,0.5,1
"483",0.5,0.5,1
"484",0.5,0.5,1
"485",0.5,0.5,1
"486",1,1,1
"487",1,1,1
"488",1,0.5,1
"489",1,0.5,1
"490",1,1,1
"491",1,1,1
"492",1,1,1
"493",1,0.5,1
"494",1,0.5,1
"495",1,0.5,1
"496",0.5,0.5,1
"497",1,1,1
"498",0.5,1,1
"499",0.5,1,1
"500",0.5,1,1
"501",0.5,0.5,0.5
"502",0.5,0.5,1
"503",0.5,0.5,0.5
"504",0.5,0.5,1
"505",0.5,0.5,1
"506",0.5,0.5,1
"507",0.5,0.5,1
"508",0.5,0.5,0.5
"509",0.5,1,1
"510",0.5,0.5,0.5
"511",0.5,0.5,1
"512",0.5,0.5,1
"513",0.5,0.5,1
"514",0.5,1,1
"515",0.5,0.5,1
"516",0.5,1,1
"517",0.5,0.5,0.5
"518",1,0.5,0.5
"519",0.5,0.5,0.5
"520",0.5,0.5,1
"521",0.5,0.5,0.5
"522",0,0,0.5
"523",0,0,0
"524",0.5,0.5,0.5
"525",0.5,0.5,1
"526",0.5,0.5,1
"527",0.5,0.5,0.5
"528",0,0,0
"529",1,1,1
"530",1,1,1
"531",1,1,1
"532",1,1,1
"533",1,1,1
"534",1,1,1
"535",1,1,1
"536",1,1,1
"537",1,1,1
"538",1,1,1
"539",1,1,1
"540",1,1,1
"541",1,1,1
"542",1,1,1
"543",1,1,1
"544",1,1,1
"545",1,1,1
"546",1,1,1
"547",1,1,1
"548",1,1,1
"549",1,1,1
"550",1,1,1
"551",1,1,1
"552",1,1,1
"553",1,1,1
"554",1,1,1
"555",1,1,1
"556",1,1,1
"557",1,1,1
"558",0.5,0.5,0.5
"559",1,1,1
"560",1,0.5,1
"561",1,1,1
"562",1,1,1
"563",0.5,0.5,0.5
"564",1,1,1
"565",1,0.5,1
"566",0.5,0.5,0.5
"567",1,1,1
"568",0.5,1,1
"569",0.5,1,1
"570",0.5,1,1
"571",0.5,0.5,1
"572",0.5,0.5,0.5
"573",0.5,0.5,0.5
"574",0.5,1,1
"575",0.5,0.5,1
"576",0.5,0.5,0.5
"577",0.5,0.5,0.5
"578",0.5,1,1
"579",0,0,0
"580",0.5,1,1
"581",1,1,1
"582",1,0.5,1
"583",1,1,1
"584",0.5,1,1
"585",1,1,1
"586",1,1,1
"587",0.5,0.5,1
"588",1,1,1
"589",1,1,1
"590",1,1,1
"591",0.5,0.5,0.5
"592",1,1,1
"593",1,1,1
