"","scores_adabag","scores_svm","scores_rf"
"1",0.5,0.5,0.5
"2",1,1,1
"3",0.5,0.5,0.5
"4",0,0,0.5
"5",1,1,1
"6",0.5,0.5,0.5
"7",0.5,0.5,0.5
"8",0.5,0.5,0.5
"9",0.5,0.5,0.5
"10",0.5,0.5,0.5
"11",0.5,0.5,0.5
"12",0.5,0.5,0.5
"13",0.5,0.5,0.5
"14",1,1,1
"15",0.5,0.5,0.5
"16",0.5,0.5,0.5
"17",0.5,0.5,0.5
"18",0.5,0.5,0.5
"19",1,1,1
"20",1,1,1
"21",1,1,1
"22",0.5,0.5,0.5
"23",0.5,0.5,0.5
"24",1,1,1
"25",1,1,1
"26",0.5,0.5,0.5
"27",0.5,0.5,0.5
"28",0.5,0.5,0.5
"29",0.5,0.5,0.5
"30",0,0,0.5
"31",0,0,0.5
"32",0,0,0.5
"33",0.5,0.5,0.5
"34",0.5,0.5,0.5
"35",0,0,0.5
"36",0.5,0.5,0.5
"37",0.5,0.5,0.5
"38",0.5,0,0.5
"39",0.5,0.5,0.5
"40",0.5,0.5,0.5
"41",0.5,0.5,0.5
"42",1,1,1
"43",0.5,0.5,0.5
"44",0.5,0.5,0.5
"45",0.5,0.5,0.5
"46",0.5,0.5,0.5
"47",0.5,0.5,0.5
"48",0.5,0.5,0.5
"49",0.5,0.5,0.5
"50",0.5,0.5,0.5
"51",1,1,1
"52",0.5,0.5,0.5
"53",0.5,0.5,0.5
"54",0.5,0.5,0.5
"55",0.5,0.5,0.5
"56",1,1,1
"57",0.5,0.5,0.5
"58",0.5,0.5,0.5
"59",1,1,1
"60",0.5,0.5,0.5
"61",0.5,0.5,0.5
"62",0.5,0.5,0.5
"63",0.5,0.5,0.5
"64",1,0.5,1
"65",1,1,1
"66",0.5,0.5,0.5
"67",0.5,0.5,0.5
"68",0.5,0.5,0.5
"69",1,1,1
"70",1,1,1
"71",1,1,1
"72",1,1,1
"73",0.5,0.5,0.5
"74",0.5,0.5,0.5
"75",0.5,0.5,0.5
"76",1,1,1
"77",1,1,1
"78",0.5,0.5,0.5
"79",0.5,0.5,0.5
"80",0.5,0.5,0.5
"81",0.5,0.5,0.5
"82",0.5,0.5,0.5
"83",0.5,0.5,0.5
"84",0.5,0.5,0.5
"85",0.5,0.5,0.5
"86",0.5,0.5,0.5
"87",1,1,1
"88",0.5,0.5,0.5
"89",1,1,1
"90",0.5,0.5,0.5
"91",0,0,0.5
"92",1,1,1
"93",0.5,0.5,0.5
"94",0.5,0.5,0.5
"95",0.5,0.5,0.5
"96",0.5,0.5,0.5
"97",0.5,0.5,0.5
"98",0.5,0.5,0.5
"99",0.5,0.5,0.5
"100",0.5,0.5,0.5
"101",1,1,1
"102",0.5,0.5,0.5
"103",0.5,0.5,0.5
"104",0.5,0.5,0.5
"105",1,1,1
"106",0.5,0.5,0.5
"107",0.5,0.5,0.5
"108",0.5,0.5,0.5
"109",0.5,0.5,0.5
"110",0.5,0.5,0.5
"111",0.5,0.5,0.5
"112",0.5,0.5,0.5
"113",0.5,0.5,0.5
"114",0,0,0.5
"115",1,1,1
"116",0.5,0.5,0.5
"117",0.5,0.5,1
"118",0,0,0
"119",0,0,0
"120",0.5,0.5,0.5
"121",0,0,0.5
"122",1,1,1
"123",0.5,0.5,0.5
"124",0.5,0.5,0.5
"125",0.5,0.5,0.5
"126",0.5,0.5,0.5
"127",0.5,0.5,0.5
"128",1,1,1
"129",0.5,0.5,0.5
"130",0.5,0.5,0.5
"131",0.5,0.5,0.5
"132",0.5,0.5,0.5
"133",0.5,0.5,0.5
"134",0.5,0.5,0.5
"135",0.5,0.5,0.5
"136",0.5,0.5,0.5
"137",0.5,0.5,0.5
"138",0.5,0.5,0.5
"139",0.5,0.5,0.5
"140",1,1,1
"141",1,1,1
"142",0.5,0.5,0.5
"143",0.5,0.5,0.5
"144",1,1,1
"145",0.5,0.5,0.5
"146",1,1,1
"147",0.5,0.5,0.5
"148",0.5,0.5,0.5
"149",0.5,0.5,0.5
"150",0.5,0.5,0.5
"151",0.5,0.5,0.5
"152",0.5,0.5,0.5
"153",1,1,1
"154",0.5,0.5,0.5
"155",0.5,0.5,0.5
"156",0.5,0.5,0.5
"157",0.5,0.5,0.5
"158",0.5,0.5,0.5
"159",1,1,1
"160",1,1,1
"161",0.5,0.5,0.5
"162",1,1,1
"163",0.5,0.5,0.5
"164",1,1,1
"165",0.5,0.5,0.5
"166",0.5,0.5,0.5
"167",0.5,0.5,0.5
"168",0.5,0.5,0.5
"169",0.5,0.5,0.5
"170",1,1,1
"171",1,1,1
"172",1,1,1
"173",1,1,1
"174",0.5,0.5,0.5
"175",1,1,1
"176",0.5,0.5,0.5
"177",1,1,1
"178",1,1,1
"179",0.5,0.5,0.5
"180",0.5,0.5,0.5
"181",0.5,0.5,0.5
"182",0.5,0.5,0.5
"183",0.5,0.5,0.5
