"","scores_adabag","scores_svm","scores_rf"
"1",0.5,0.5,0.5
"2",0.5,0.5,1
"3",1,1,1
"4",0.5,0.5,0.5
"5",1,1,1
"6",0.5,1,0.5
"7",0.5,0.5,0.5
"8",0.5,0.5,0.5
"9",0.5,0.5,0.5
"10",0.5,0.5,0.5
"11",0.5,0.5,0.5
"12",1,1,1
"13",0.5,0.5,0.5
"14",0.5,0,0.5
"15",0.5,0.5,0.5
"16",0.5,0.5,0.5
"17",0.5,0.5,0.5
"18",0.5,0.5,0.5
"19",0.5,0.5,0.5
"20",0.5,0.5,0.5
"21",0.5,0.5,0.5
"22",0.5,0,0.5
"23",0.5,0.5,0.5
"24",0.5,0.5,0.5
"25",0.5,0.5,0.5
"26",0.5,0.5,0.5
"27",0.5,0.5,0.5
"28",0.5,0.5,0.5
"29",0.5,0.5,0.5
"30",0.5,0.5,0.5
"31",1,1,1
"32",0.5,0,0.5
"33",0.5,0.5,0.5
"34",1,1,1
"35",0.5,0.5,0.5
"36",0.5,0.5,0.5
"37",0.5,0.5,0.5
"38",1,1,1
"39",0.5,0.5,0.5
"40",1,1,1
"41",0.5,0.5,0.5
"42",0.5,0.5,0.5
"43",0.5,0.5,0.5
"44",0.5,0.5,0.5
"45",0.5,1,1
"46",0.5,0.5,1
"47",0.5,0.5,0.5
"48",0.5,0.5,0.5
"49",1,1,1
"50",0.5,0.5,0.5
"51",0.5,0,0.5
"52",0.5,0.5,0.5
"53",0.5,0.5,0.5
"54",0.5,0.5,0.5
"55",0.5,0.5,0.5
"56",0.5,0.5,0.5
"57",1,1,1
"58",0.5,0.5,0.5
"59",0.5,0.5,0.5
"60",1,1,1
"61",0.5,0.5,0.5
"62",0.5,0.5,0.5
"63",0.5,0.5,0.5
"64",0.5,0.5,0.5
"65",0.5,0.5,0.5
"66",1,1,1
"67",0.5,0.5,0.5
"68",1,1,1
"69",0.5,0.5,0.5
"70",0,0.5,0
"71",1,1,1
"72",1,1,1
"73",0.5,0.5,0.5
"74",0.5,0.5,0.5
"75",1,1,1
"76",0.5,0.5,0.5
"77",0.5,0.5,0.5
"78",1,1,1
"79",0.5,0.5,0.5
"80",0.5,0,0.5
"81",0.5,0.5,0.5
"82",0.5,0.5,0.5
"83",0.5,0.5,0.5
"84",0.5,0.5,0.5
"85",0.5,0.5,0.5
"86",0.5,0.5,0.5
"87",0.5,0.5,0.5
"88",0.5,0.5,0.5
"89",0.5,0.5,0.5
"90",1,1,1
"91",1,1,1
"92",0.5,0.5,0.5
"93",0.5,0.5,0.5
"94",0.5,0.5,0.5
"95",0.5,1,1
"96",0.5,0.5,0.5
"97",1,1,1
"98",0,0,0
"99",0.5,0.5,0.5
"100",0.5,0.5,0.5
"101",0.5,0.5,0.5
"102",0.5,0.5,0.5
"103",0.5,0.5,0.5
"104",0.5,1,0.5
"105",0.5,0.5,0.5
"106",0.5,0.5,0.5
"107",1,1,1
"108",0.5,0.5,0.5
"109",0.5,0,0
"110",0.5,0.5,0.5
"111",0.5,0.5,0.5
"112",1,0.5,1
"113",1,1,1
