"","scores_adabag","scores_svm","scores_rf"
"1",0.5,0.5,0.5
"2",1,1,1
"3",0.5,0.5,0.5
"4",1,1,1
"5",0.5,0.5,0.5
"6",0.5,0,0.5
"7",0.5,0.5,0.5
"8",0.5,0.5,1
"9",0,0,0.5
"10",1,1,1
"11",0.5,0.5,0.5
"12",0.5,0.5,0.5
"13",0.5,0.5,0.5
"14",1,1,0.5
"15",0.5,0.5,0.5
"16",1,1,1
"17",0.5,0.5,0.5
"18",1,1,1
"19",0.5,0.5,0.5
"20",1,1,1
"21",0.5,0.5,0.5
"22",0.5,0.5,1
"23",0.5,1,1
"24",1,1,1
"25",1,1,1
"26",0.5,0.5,1
"27",1,1,1
"28",0.5,1,1
"29",1,1,1
"30",1,1,1
"31",0.5,0.5,0.5
"32",0.5,0.5,0.5
"33",0.5,0.5,0.5
"34",0.5,0.5,0.5
"35",0,0.5,0.5
"36",1,1,1
"37",0.5,0,0.5
"38",0.5,1,1
"39",1,0.5,1
"40",1,0.5,1
"41",0.5,0.5,0.5
"42",0.5,0,0
"43",1,1,1
"44",0.5,0.5,0.5
"45",1,1,1
"46",1,1,1
"47",0.5,0.5,0.5
"48",1,1,1
"49",0.5,0.5,0.5
"50",0.5,0.5,1
"51",0.5,0.5,0.5
"52",0.5,0.5,0.5
"53",1,1,1
"54",0.5,0.5,0.5
"55",1,1,1
"56",1,1,1
"57",1,1,1
"58",0,0.5,0
"59",0.5,0.5,0.5
"60",1,1,1
"61",1,1,1
"62",1,1,1
"63",1,0.5,0.5
"64",1,1,1
"65",1,1,1
"66",1,1,1
"67",0.5,0.5,0.5
"68",0.5,0.5,0.5
"69",0.5,0.5,0.5
"70",1,1,1
"71",1,1,1
"72",1,1,1
"73",1,1,1
"74",1,1,1
"75",0.5,0.5,0.5
"76",1,1,1
"77",0.5,0.5,0.5
"78",0.5,0,0
"79",1,1,1
"80",1,1,1
"81",0.5,1,1
"82",0.5,0.5,0.5
"83",0.5,0.5,0.5
"84",1,1,1
"85",0.5,0.5,0.5
"86",0.5,0.5,0.5
"87",0.5,1,1
"88",0.5,0,0
"89",0.5,0.5,0.5
"90",1,1,1
"91",1,1,1
"92",1,1,1
"93",0.5,0.5,0.5
"94",1,1,1
"95",1,1,1
"96",0.5,0.5,0.5
"97",0.5,0.5,0.5
"98",0.5,0.5,0.5
"99",0.5,0.5,0.5
"100",0.5,0.5,0.5
"101",1,1,1
"102",0.5,0.5,0.5
"103",1,1,1
"104",0.5,0.5,0.5
"105",1,1,1
"106",1,1,1
"107",0.5,0.5,0.5
"108",1,1,1
"109",1,1,1
"110",1,1,1
"111",0,0,0.5
"112",0,0.5,0.5
"113",0.5,0.5,1
"114",0.5,0.5,0.5
"115",0.5,0.5,0.5
"116",1,1,1
"117",0.5,0.5,0.5
"118",1,1,1
"119",0.5,0.5,0.5
"120",0,0.5,0.5
"121",1,1,1
"122",1,0.5,1
"123",0.5,0.5,0.5
"124",0.5,0.5,0.5
"125",1,0.5,1
"126",0.5,0.5,0.5
"127",0.5,0.5,0.5
"128",0.5,0.5,0.5
"129",1,0.5,1
"130",0.5,0.5,0.5
"131",0,0.5,0.5
"132",0.5,0.5,0.5
"133",1,1,1
"134",0.5,0.5,0.5
"135",0.5,0.5,0.5
"136",0.5,0.5,0.5
"137",0.5,0.5,0.5
"138",1,1,1
"139",0,0.5,0.5
"140",1,0.5,1
"141",0.5,0.5,0.5
"142",0.5,0.5,0.5
"143",0.5,1,1
"144",0.5,0.5,0.5
"145",1,1,1
"146",1,1,1
"147",0.5,1,1
"148",0.5,0.5,0.5
"149",1,1,1
"150",0.5,0.5,0.5
"151",0.5,1,0.5
"152",0.5,0,0
"153",1,1,1
"154",0.5,0.5,0.5
"155",1,1,1
"156",0.5,1,1
"157",0.5,0.5,0.5
"158",0.5,0.5,0.5
"159",1,0.5,1
"160",1,1,1
"161",1,1,1
"162",0.5,0.5,0.5
"163",0.5,0.5,0.5
"164",0.5,0.5,0.5
"165",0.5,0.5,0.5
"166",0.5,1,1
"167",0.5,0.5,0.5
"168",0.5,0.5,0.5
"169",1,1,1
"170",0.5,0.5,0.5
"171",0.5,0.5,0.5
"172",0.5,0.5,0.5
"173",0.5,0,0.5
"174",1,1,1
"175",1,1,1
"176",1,1,1
"177",0.5,0.5,0.5
"178",1,0.5,1
"179",1,1,1
"180",0.5,0.5,0.5
"181",0.5,1,1
"182",0.5,1,1
"183",1,1,1
"184",0.5,1,1
"185",0.5,0.5,0.5
"186",1,1,1
"187",0.5,0.5,0.5
"188",1,1,1
"189",1,1,1
"190",0.5,0.5,0.5
"191",1,0.5,1
"192",0.5,0.5,0.5
"193",0.5,1,1
"194",0.5,0.5,0.5
"195",0.5,1,1
"196",1,1,1
"197",0,0,0
"198",0.5,0.5,0.5
"199",0.5,0.5,0.5
"200",0.5,0.5,0.5
