"","scores_adabag","scores_svm","scores_rf"
"1",1,1,1
"2",0.5,0.5,0.5
"3",0.5,0.5,0.5
"4",0.5,0.5,0.5
"5",0.5,0.5,0.5
"6",0.5,0.5,0.5
"7",0.5,1,1
"8",0.5,0.5,0.5
"9",0.5,0.5,0.5
"10",0.5,0.5,0.5
"11",0.5,0.5,0.5
"12",0.5,0.5,0.5
"13",0,0.5,0.5
"14",0.5,1,1
"15",0.5,0.5,0.5
"16",0.5,0.5,0.5
"17",0.5,0.5,0.5
"18",0.5,0.5,0.5
"19",0.5,0.5,0.5
"20",0.5,0.5,0.5
"21",0.5,0.5,0.5
"22",0.5,0.5,0.5
"23",0.5,0.5,0.5
"24",0.5,0.5,0.5
"25",1,1,1
"26",0.5,0.5,0.5
"27",0.5,0.5,0.5
"28",1,0.5,1
"29",0.5,0.5,0.5
"30",0.5,0.5,0.5
"31",0.5,0.5,0.5
"32",1,1,1
"33",0.5,0.5,0.5
"34",0.5,0.5,0.5
"35",0.5,0.5,0.5
"36",0.5,0.5,0.5
"37",0.5,0.5,0.5
"38",0.5,0.5,0.5
"39",0.5,0.5,0.5
"40",1,1,1
"41",0.5,0.5,0.5
"42",0.5,0.5,0.5
"43",1,1,1
"44",1,1,1
"45",0.5,0.5,0.5
"46",0.5,0.5,0.5
"47",0.5,0.5,0.5
"48",0.5,0.5,0.5
"49",1,1,1
"50",0.5,0.5,0.5
"51",1,1,1
"52",0.5,1,0.5
"53",0.5,0.5,0.5
"54",0.5,0.5,0.5
"55",0.5,0.5,0.5
"56",0.5,1,1
"57",1,1,1
"58",0.5,0.5,0.5
"59",0.5,0.5,0.5
"60",0.5,0.5,0.5
"61",0.5,0.5,0.5
"62",0.5,0.5,0.5
"63",0.5,1,0.5
"64",0.5,0.5,0.5
"65",0.5,0.5,0.5
"66",0.5,0.5,0.5
"67",0.5,0.5,0.5
"68",0.5,0.5,0.5
"69",0.5,0.5,0.5
"70",0.5,0.5,0.5
"71",0.5,0.5,0.5
"72",0.5,0.5,0.5
"73",0.5,0.5,0.5
"74",0.5,0.5,0.5
"75",1,1,1
"76",0.5,0.5,0.5
"77",0.5,0.5,0.5
"78",0.5,0.5,0.5
"79",0.5,0.5,0.5
"80",0.5,0.5,0.5
"81",0.5,0.5,0.5
"82",1,0.5,1
"83",0.5,0.5,0.5
"84",1,1,1
"85",0.5,0.5,0.5
"86",0.5,0.5,0.5
"87",0.5,0.5,0.5
"88",0.5,1,1
"89",0.5,0.5,0.5
"90",0.5,0.5,0.5
"91",0,0.5,0.5
"92",1,1,1
"93",0.5,0.5,0.5
"94",0.5,0.5,0.5
"95",0.5,0.5,0.5
"96",1,1,1
"97",0.5,0.5,0.5
"98",0.5,0.5,0.5
"99",0.5,0.5,0.5
"100",0.5,0.5,0.5
"101",1,1,1
"102",0.5,0.5,0.5
"103",1,1,1
"104",0.5,0.5,0.5
"105",1,1,1
"106",0.5,0.5,0.5
"107",1,1,1
"108",0.5,1,1
"109",0.5,0.5,0.5
"110",0.5,0.5,0.5
"111",0.5,0.5,0.5
"112",1,0.5,1
"113",0.5,0.5,0.5
"114",0.5,0.5,0.5
"115",0.5,0.5,0.5
"116",0.5,0.5,0.5
"117",0.5,0.5,0.5
"118",0.5,0.5,0.5
"119",0.5,0.5,0.5
"120",0.5,0.5,0.5
"121",0.5,0.5,0.5
"122",0.5,0.5,0.5
"123",1,1,1
"124",0.5,0.5,0.5
"125",0.5,0.5,0.5
"126",0.5,0.5,0.5
"127",0.5,0.5,0.5
"128",1,1,1
"129",0.5,0.5,0.5
"130",0.5,0.5,0.5
"131",1,1,1
"132",1,1,1
"133",0.5,0.5,0.5
"134",1,1,1
"135",0.5,0.5,0.5
"136",0.5,0.5,0.5
"137",0.5,0.5,0.5
"138",1,1,1
"139",0.5,0.5,0.5
"140",0.5,0.5,0.5
"141",0.5,0.5,0.5
"142",0.5,0.5,0.5
"143",1,1,1
"144",0.5,0.5,0.5
"145",0.5,0,0.5
"146",0.5,0.5,0.5
"147",0.5,0.5,0.5
"148",1,1,1
"149",0.5,0.5,0.5
"150",0.5,0.5,0.5
"151",0.5,0.5,0.5
"152",1,1,1
"153",0.5,0.5,0.5
"154",0.5,0.5,0.5
"155",1,1,1
"156",0.5,0.5,0.5
"157",1,1,1
"158",0.5,1,1
"159",1,1,1
"160",0.5,1,0.5
"161",0.5,0.5,0.5
"162",0.5,1,0.5
"163",0.5,0.5,0.5
"164",0.5,1,1
"165",0.5,1,1
"166",0.5,1,1
"167",0.5,0.5,0.5
"168",0.5,0.5,0.5
"169",0.5,0.5,0.5
"170",1,1,1
"171",1,1,1
"172",0.5,0.5,0.5
"173",0.5,0.5,0.5
"174",0.5,0.5,0.5
"175",0.5,0.5,0.5
"176",0.5,0.5,0.5
"177",0.5,0.5,0.5
"178",0.5,0.5,0.5
"179",0.5,0.5,0.5
"180",0.5,0.5,0.5
"181",0.5,0.5,0.5
"182",0.5,0.5,0.5
"183",0.5,0.5,0.5
"184",1,1,1
"185",1,0.5,1
"186",0.5,0.5,0.5
"187",0.5,0.5,0.5
"188",0.5,0.5,0.5
"189",0.5,0.5,0.5
"190",1,1,1
"191",0.5,0.5,0.5
"192",0.5,0.5,0.5
"193",1,1,1
"194",1,0.5,1
"195",0.5,0.5,0.5
"196",0.5,0.5,0.5
"197",0.5,0.5,0.5
"198",0.5,0.5,0.5
"199",0.5,0.5,0.5
"200",0.5,0.5,0.5
"201",0.5,0.5,0.5
"202",0.5,0.5,0.5
"203",1,1,1
"204",1,1,1
"205",0.5,0.5,0.5
"206",1,1,1
"207",0.5,0.5,0.5
"208",0.5,0.5,0.5
"209",0.5,0.5,0.5
"210",0.5,0.5,0.5
"211",1,1,1
"212",0.5,0.5,0.5
"213",0.5,0.5,0.5
"214",0.5,0.5,0.5
"215",0.5,0.5,0.5
"216",1,1,1
"217",0.5,0.5,0.5
"218",0.5,0.5,0.5
"219",0.5,0.5,0.5
"220",1,1,1
"221",0.5,0.5,0.5
"222",1,1,1
"223",0.5,1,1
"224",0.5,1,1
"225",0.5,0.5,0.5
"226",0.5,0.5,0.5
"227",0.5,0.5,1
"228",0.5,0.5,0.5
"229",1,1,1
"230",0.5,0.5,0.5
"231",0,0.5,0.5
"232",0.5,0.5,0.5
"233",1,1,1
"234",0.5,1,1
"235",0.5,0.5,0.5
"236",1,1,1
"237",1,1,1
"238",0.5,0.5,0.5
"239",1,1,1
"240",0.5,0.5,0.5
"241",1,0.5,1
"242",0.5,0.5,0.5
"243",0.5,0.5,0.5
"244",0.5,0.5,0.5
"245",0.5,0.5,0.5
"246",0.5,0.5,0.5
"247",0.5,0.5,0.5
"248",0.5,0.5,0.5
"249",0.5,0.5,0.5
"250",0.5,0.5,0.5
"251",0,0.5,0
"252",1,0.5,1
"253",1,1,1
"254",0.5,0.5,0.5
"255",0.5,0.5,0.5
"256",0.5,1,0.5
"257",0.5,1,1
"258",0.5,0.5,0.5
"259",0.5,0.5,0.5
"260",0.5,0.5,0.5
"261",1,1,1
"262",0.5,0.5,0.5
"263",0.5,0,0.5
"264",1,1,1
"265",0.5,0.5,0.5
"266",0.5,1,1
"267",0.5,0.5,0.5
"268",0.5,0.5,0.5
"269",1,1,1
"270",0.5,0.5,0.5
"271",0.5,0.5,0.5
"272",0.5,0.5,0.5
"273",0.5,0.5,0.5
"274",0.5,0.5,0.5
"275",0,0,0.5
"276",0.5,0.5,0.5
"277",0.5,1,1
"278",1,1,1
"279",0.5,0.5,0.5
"280",1,1,1
"281",0.5,0.5,0.5
"282",0.5,0.5,0.5
"283",0.5,0.5,0.5
"284",1,1,1
"285",0.5,0.5,0.5
"286",1,1,1
"287",0.5,0.5,0.5
"288",1,1,1
"289",0.5,0.5,0.5
"290",0.5,0.5,0.5
"291",0.5,0.5,0.5
"292",1,1,1
"293",1,1,1
"294",0.5,0.5,0.5
"295",1,1,1
"296",0.5,0.5,0.5
"297",1,1,1
"298",0.5,0.5,0.5
"299",0.5,0.5,0.5
"300",0.5,0.5,0.5
"301",0.5,0.5,0.5
"302",0.5,0.5,0.5
"303",0.5,0.5,0.5
"304",1,1,1
"305",1,1,1
"306",0,0.5,0
"307",1,1,1
"308",0.5,0.5,0.5
"309",0.5,1,1
"310",0.5,0.5,0.5
"311",0.5,1,1
"312",0.5,0.5,0.5
"313",0.5,0.5,0.5
"314",0.5,0.5,0.5
"315",0.5,0.5,0.5
"316",0.5,0.5,0.5
"317",0.5,0.5,0.5
"318",0.5,0.5,0.5
"319",0.5,0.5,0.5
"320",0.5,0.5,0.5
"321",0.5,0.5,0.5
"322",0.5,0.5,0.5
"323",0,0.5,0.5
"324",0.5,0.5,0.5
"325",0.5,0.5,0.5
"326",0.5,0.5,0.5
"327",0.5,0.5,0.5
"328",0.5,0.5,0.5
"329",0.5,0.5,0.5
"330",0.5,0.5,0.5
"331",0.5,0.5,0.5
"332",1,1,1
"333",0.5,0.5,0.5
"334",0.5,0.5,0.5
"335",0.5,0.5,0.5
"336",1,1,1
"337",0.5,0.5,0.5
"338",1,1,1
"339",0.5,0.5,0.5
"340",0.5,0.5,0.5
"341",0.5,0.5,0.5
"342",0.5,0.5,0.5
"343",0.5,0.5,0.5
"344",0.5,0.5,0.5
"345",0.5,0,0
"346",0.5,1,1
"347",0.5,0.5,0.5
"348",1,0.5,1
"349",1,1,1
"350",0.5,0.5,0.5
"351",0.5,0.5,0.5
"352",0.5,0.5,0.5
"353",0.5,0.5,0.5
"354",1,1,1
"355",0.5,0.5,0.5
"356",0.5,0.5,0.5
"357",0.5,0.5,0.5
"358",0.5,0.5,0.5
"359",0.5,0.5,0.5
"360",0.5,0.5,0.5
"361",1,1,1
"362",0.5,0.5,0.5
"363",1,1,1
"364",0.5,0.5,0.5
"365",1,1,1
"366",0.5,0.5,0.5
"367",0.5,1,1
"368",0.5,0.5,0.5
"369",0,0,0
"370",0.5,1,0.5
"371",0.5,0.5,0.5
"372",1,1,1
"373",0.5,0.5,0.5
"374",0.5,0.5,0.5
"375",0.5,0.5,0.5
"376",1,1,1
"377",0.5,0.5,0.5
"378",0.5,0.5,0.5
"379",0.5,0.5,0.5
"380",0.5,0.5,0.5
"381",0.5,1,1
"382",0.5,0.5,0.5
"383",0.5,1,1
"384",0.5,0.5,0.5
"385",0.5,0.5,0.5
"386",0.5,0.5,0.5
"387",0.5,0.5,0.5
"388",0.5,0.5,0.5
"389",1,1,1
"390",0.5,1,0.5
"391",0.5,0.5,0.5
"392",0.5,0.5,0.5
"393",1,1,1
"394",0.5,1,1
"395",1,1,1
"396",0.5,0.5,0.5
"397",0.5,0.5,0.5
"398",0.5,0.5,0.5
"399",1,0.5,0.5
"400",1,1,1
"401",0.5,0.5,0.5
"402",0.5,0.5,0.5
"403",0.5,0.5,0.5
"404",0.5,0.5,0.5
"405",1,1,1
"406",0.5,1,1
"407",0.5,0.5,0.5
"408",0.5,0.5,0.5
"409",0.5,0.5,0.5
"410",1,1,1
"411",0.5,0.5,0.5
"412",1,1,1
"413",1,1,1
"414",0.5,0.5,0.5
"415",0.5,0.5,0.5
"416",1,1,1
"417",0.5,0.5,0.5
"418",0.5,0.5,0.5
"419",0.5,0.5,0.5
"420",0.5,0.5,0.5
"421",0.5,0.5,0.5
"422",0.5,0.5,0.5
"423",0.5,0.5,0.5
"424",0,0,0
"425",0.5,0.5,0.5
"426",0.5,0.5,0.5
"427",1,1,1
"428",0.5,0.5,0.5
"429",0.5,0.5,0.5
"430",0.5,0.5,0.5
"431",0.5,0.5,0.5
"432",0.5,0.5,0.5
"433",1,1,1
"434",0.5,0.5,0.5
"435",0.5,0.5,0.5
"436",0.5,1,1
"437",0.5,1,1
"438",0.5,0.5,0.5
"439",0.5,0.5,0.5
"440",0.5,1,0.5
"441",1,1,1
"442",0.5,0.5,0.5
"443",0.5,0.5,0.5
"444",0.5,0.5,0.5
"445",0.5,0.5,0.5
"446",0.5,0.5,0.5
"447",0.5,0.5,0.5
"448",0.5,0.5,0.5
"449",0.5,0.5,0.5
"450",0.5,0.5,0.5
"451",0.5,0.5,0.5
"452",1,1,1
"453",0.5,0.5,0.5
"454",0.5,0.5,0.5
"455",0.5,0.5,0.5
"456",0.5,0.5,0.5
"457",0.5,0.5,0.5
"458",1,1,1
"459",1,1,1
"460",0.5,0.5,0.5
"461",0.5,0.5,0.5
"462",1,1,1
"463",0.5,0.5,0.5
"464",0.5,0.5,0.5
"465",0.5,0.5,0.5
"466",0.5,0.5,0.5
"467",1,1,1
"468",0.5,0.5,0.5
"469",0.5,0.5,0.5
"470",1,1,1
"471",0.5,0.5,0.5
"472",0.5,0.5,0.5
